CA Well Results [Active Wells only],,,,,,,,,,,,,,,,,,,,,,,,,,,
 County:Los Angeles 037,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
District #,Formatted API #,Operator Name,Operator Code,Field Name,Field Code,API #,Lease Name,Well #,Well Status,Pool WellTypes,Section,Township,Range,Base Meridian,Area Code,Area Name,Latitude,Longitude,GISSourceCode,DatumCode,BLMWell,DryHole,Directional,Hydraulically Fractured,SPUD Date,Completion Date,Abandoned Date
2,037-00014,Crimson Resource Management Corp.,C9035,Aliso Canyon,010,03700014,Standard-Sesnon 1,46,I,OG,28,03N,16W,SB,00,Any Area,34.31504104,-118.5667263,gps,83,N,N,Y, ,09/23/1966,,
1,037-00029,Sentinel Peak Resources California LLC,S2641,Beverly Hills,054,03700029,,P-1,A,OG,29,01S,14W,SB,03,East,34.051187,-118.362751,hud,83,N,N,Y, ,,,
2,037-00034,The Termo Company,T1200,Aliso Canyon,010,03700034,Del Aliso 1,4,I,OG,29,03N,16W,SB,00,Any Area,34.31827843,-118.5741124,hud,83,N,N,Y, ,05/04/1949,,
2,037-00035,Southern California Gas Company,S4700,Aliso Canyon,010,03700035,Fernando Fee,11,A,OG,27,03N,16W,SB,00,Any Area,34.31497446,-118.5451682,gps,83,N,N,N, ,08/08/1939,,
2,037-00036,Southern California Gas Company,S4700,Aliso Canyon,010,03700036,Porter,1,A,OG,27,03N,16W,SB,00,Any Area,34.31676276,-118.5475856,gps,83,N,N,N, ,06/21/1938,,
2,037-00037,Southern California Gas Company,S4700,Aliso Canyon,010,03700037,Fernando Fee,38,A,OG,27,03N,16W,SB,00,Any Area,34.3160457,-118.5444112,gps,83,N,N,Y, ,10/26/1966,,
2,037-00039,Southern California Gas Company,S4700,Aliso Canyon,010,03700039,Porter,63,A,OG,28,03N,16W,SB,00,Any Area,34.31841541,-118.5579201,gps,83,N,N,N, ,04/21/1953,,
2,037-00040,Southern California Gas Company,S4700,Aliso Canyon,010,03700040,Standard Sesnon,10,A,GS,29,03N,16W,SB,00,Any Area,34.31272425,-118.5721026,gps,83,N,N,Y, ,04/20/1947,,
2,037-00041,Southern California Gas Company,S4700,Aliso Canyon,010,03700041,Standard Sesnon,29,A,GS,28,03N,16W,SB,00,Any Area,34.31527643,-118.566506,gps,83,N,N,N, ,04/26/1953,,
1,037-00046,Sentinel Peak Resources California LLC,S2641,Las Cienegas,382,03700046,Jefferson,22,A,WF,1,02S,14W,SB,09,Jefferson,34.0263146,-118.296663,gps,83,N,N,Y, ,,,
1,037-00049,Sentinel Peak Resources California LLC,S2641,Montebello,478,03700049,Baldwin,176,A,OG,1,02S,12W,SB,03,Main,34.02951355,-118.0923313,gps,83,N,N,Y, ,,,
1,037-00053,Southern California Gas Company,S4700,Montebello,478,03700053,Mgs,6-4,I,OG,2,02S,12W,SB,06,West,34.02654352,-118.1107335,gps,83,N,N,Y, ,,,
1,037-00054,Southern California Gas Company,S4700,Montebello,478,03700054,Mgs,8-8,I,OG,2,02S,12W,SB,06,West,34.02652779,-118.1105288,gps,83,N,N,Y, ,,,
1,037-00055,Southern California Gas Company,S4700,Montebello,478,03700055,Mgs,9-11,I,OG,2,02S,12W,SB,06,West,34.02652631,-118.1103873,sum,83,N,N,Y, ,,,
1,037-00056,Southern California Gas Company,S4700,Montebello,478,03700056,Mgs,13-20,A,OG,2,02S,12W,SB,06,West,34.02649692,-118.1098883,sum,83,N,N,Y, ,08/31/1966,10/04/1966,
1,037-00057,Southern California Gas Company,S4700,Montebello,478,03700057,Mgs,15-28,I,OG,2,02S,12W,SB,06,West,34.02647797,-118.1094956,gps,83,N,N,Y, ,,,
2,037-00063,Watt Mineral Holdings LLC,W0510,Newhall,498,03700063,Albert,16,I,"OG, SC",6,03N,15W,SB,24,Whitney Canyon,34.37029617,-118.4945943,gps,83,N,N,N, ,02/21/1956,,
1,037-00089,BreitBurn Operating LP,B6131,Rosecrans,618,03700089,O'Dea,10,A,WF,18,03S,13W,SB,03,Main,33.9035454,-118.277388,gps,83,N,N,N, ,,,
1,037-00090,BreitBurn Operating LP,B6131,Rosecrans,618,03700090,O'Dea,22,I,OG,18,03S,13W,SB,03,Main,33.90582488,-118.2748363,gps,83,N,N,N, ,08/29/1963,02/08/1964,
1,037-00094,BreitBurn Operating LP,B6131,Santa Fe Springs,666,03700094,,W-203-C,A,WF,31,02S,11W,SB,00,Any Area,33.94869517,-118.069871,gps,83,N,N,N, ,,,
1,037-00097,BreitBurn Operating LP,B6131,Santa Fe Springs,666,03700097,,416-F,A,OG,6,03S,11W,SB,00,Any Area,33.94610374,-118.0650701,gps,83,N,N,N, ,,,
1,037-00099,BreitBurn Operating LP,B6131,Santa Fe Springs,666,03700099,,421-N,A,OG,6,03S,11W,SB,00,Any Area,33.94553496,-118.0654033,gps,83,N,N,N, ,,,
1,037-00102,BreitBurn Operating LP,B6131,Santa Fe Springs,666,03700102,,429-E,A,OG,6,03S,11W,SB,00,Any Area,33.94535325,-118.0680291,gps,83,N,N,N, ,,,
1,037-00103,BreitBurn Operating LP,B6131,Santa Fe Springs,666,03700103,,428-F,A,OG,6,03S,11W,SB,00,Any Area,33.94528538,-118.0673388,gps,83,N,N,N, ,,,
1,037-00107,Pacific Coast Energy Company LP,B6127,Beverly Hills,054,03700107,West Pico,7,I,OG,30,01S,14W,SB,03,East,34.05553969,-118.3904348,gps,83,N,N,Y, ,,,
1,037-00108,Hillcrest Beverly Oil Corp.,H4325,Beverly Hills,054,03700108,Beverly Hills Community,5,I,OG,25,01S,15W,SB,06,West,34.05069328,-118.4054744,gps,83,N,N,Y, ,,,
1,037-00109,Hillcrest Beverly Oil Corp.,H4325,Beverly Hills,054,03700109,Beverly Hills Community,6,I,OG,25,01S,15W,SB,06,West,34.05071186,-118.4054772,gps,83,N,N,Y, ,,,
1,037-00110,Hillcrest Beverly Oil Corp.,H4325,Beverly Hills,054,03700110,Olympic Community,4,A,OG,25,01S,15W,SB,06,West,34.05070465,-118.4053363,gps,83,N,N,Y, ,,,
2,037-01197,Crimson Resource Management Corp.,C9035,Castaic Hills,124,03701197,CHU,22-36,I,OG,36,05N,17W,SB,00,Any Area,34.47904394,-118.6219486,gps,83,N,N,N, ,,,
2,037-01198,Crimson Resource Management Corp.,C9035,Castaic Hills,124,03701198,CHU,23-35,I,OG,35,05N,17W,SB,00,Any Area,34.47723117,-118.6389737,gps,83,N,N,N, ,,,
2,037-01199,Crimson Resource Management Corp.,C9035,Castaic Hills,124,03701199,CHU,24-35,I,WF,35,05N,17W,SB,00,Any Area,34.47541233,-118.6387244,gps,83,N,N,N, ,,,
2,037-01202,Crimson Resource Management Corp.,C9035,Castaic Hills,124,03701202,CHU,32-35,I,WF,35,05N,17W,SB,00,Any Area,34.4790414,-118.6371082,gps,83,N,N,N, ,01/24/1954,,
2,037-01203,Crimson Resource Management Corp.,C9035,Castaic Hills,124,03701203,CHU,33-35,I,OG,35,05N,17W,SB,00,Any Area,34.47723624,-118.6368968,gps,83,N,N,N, ,,,
2,037-01204,Crimson Resource Management Corp.,C9035,Castaic Hills,124,03701204,CHU,33-36,A,OG,36,05N,17W,SB,00,Any Area,34.4772088,-118.6199111,gps,83,N,N,N, ,,,
2,037-01205,Crimson Resource Management Corp.,C9035,Castaic Hills,124,03701205,CHU,34-35,I,WF,35,05N,17W,SB,00,Any Area,34.47541183,-118.6365568,gps,83,N,N,N, ,,,
2,037-01206,Crimson Resource Management Corp.,C9035,Castaic Hills,124,03701206,CHU,43-35,I,OG,35,05N,17W,SB,00,Any Area,34.47730223,-118.6345961,gps,83,N,N,N, ,,,
2,037-01207,Crimson Resource Management Corp.,C9035,Castaic Hills,124,03701207,CHU,44-35,I,WF,35,05N,17W,SB,00,Any Area,34.47540755,-118.6343424,gps,83,N,N,N, ,,,
2,037-01209,Crimson Resource Management Corp.,C9035,Castaic Hills,124,03701209,CHU,52-35,I,OG,35,05N,17W,SB,00,Any Area,34.47861309,-118.6325482,gps,83,N,N,N, ,03/30/1955,,
2,037-01210,Crimson Resource Management Corp.,C9035,Castaic Hills,124,03701210,CHU,54-35,I,WF,35,05N,17W,SB,00,Any Area,34.47539985,-118.6321646,gps,83,N,N,N, ,,,
2,037-01211,Crimson Resource Management Corp.,C9035,Castaic Hills,124,03701211,CHU,62-35,I,OG,35,05N,17W,SB,00,Any Area,34.47902195,-118.6304436,gps,83,N,N,N, ,,,
2,037-01212,Crimson Resource Management Corp.,C9035,Castaic Hills,124,03701212,CHU,63-35,I,OG,35,05N,17W,SB,00,Any Area,34.47721792,-118.6304012,gps,83,N,N,N, ,,,
2,037-01214,Crimson Resource Management Corp.,C9035,Castaic Hills,124,03701214,CHU,72-35,A,OG,35,05N,17W,SB,00,Any Area,34.47885309,-118.6283466,gps,83,N,N,N, ,,,
2,037-01215,Crimson Resource Management Corp.,C9035,Castaic Hills,124,03701215,CHU,73-35,I,WS,35,05N,17W,SB,00,Any Area,34.47719796,-118.6280474,gps,83,N,N,N, ,,,
2,037-01216,Crimson Resource Management Corp.,C9035,Castaic Hills,124,03701216,CHU,74-35,I,OG,35,05N,17W,SB,00,Any Area,34.47537524,-118.6277858,gps,83,N,N,N, ,,,
2,037-01217,Crimson Resource Management Corp.,C9035,Castaic Hills,124,03701217,CHU,83-35,A,OG,35,05N,17W,SB,00,Any Area,34.47718825,-118.6259001,gps,83,N,N,N, ,,,
2,037-01220,Crimson Resource Management Corp.,C9035,Castaic Hills,124,03701220,CHU,144-36,A,OG,36,05N,17W,SB,00,Any Area,34.47491121,-118.6171877,gps,83,N,N,N, ,,,
2,037-01225,Crimson Resource Management Corp.,C9035,Castaic Hills,124,03701225,Rynne-Fisher,82-35,I,OG,35,05N,17W,SB,00,Any Area,34.47896932,-118.6261295,gps,83,Y,N,N, ,04/30/1952,,
1,037-01279,"Warren E&P, Inc.",W0325,Wilmington,849,03701279,NWU,9-1,I,OG,34,04S,13W,SB,15,Fault Block III,33.78718693,-118.2330555,gps,83,N,N,Y, ,,,
1,037-01280,"Warren E&P, Inc.",W0325,Wilmington,849,03701280,NWU,9-2,A,OG,34,04S,13W,SB,15,Fault Block III,33.78727485,-118.2315737,gps,83,N,N,Y, ,,,
1,037-01281,"Warren E&P, Inc.",W0325,Wilmington,849,03701281,NWU,9-3,I,WF,34,04S,13W,SB,15,Fault Block III,33.78873354,-118.2319498,gps,83,N,N,Y, ,,,
1,037-01395,"Warren E&P, Inc.",W0325,Wilmington,849,03701395,NWU,67-19,I,OG,33,04S,13W,SB,06,Fault Block II,33.7819028,-118.240426,gps,83,N,N,N, ,,,
1,037-01403,Axis Petroleum Co.,A4800,Wilmington,849,03701403,,G-2,A,OG,28,04S,13W,SB,06,Fault Block II,33.79866046,-118.2532343,gps,83,N,N,N, ,,,
1,037-01404,Axis Petroleum Co.,A4800,Wilmington,849,03701404,,G-5,A,OG,28,04S,13W,SB,06,Fault Block II,33.79629957,-118.2518531,gps,83,N,N,N, ,,,
1,037-01405,Axis Petroleum Co.,A4800,Wilmington,849,03701405,,G-6,A,OG,28,04S,13W,SB,06,Fault Block II,33.79591278,-118.2530237,gps,83,N,N,N, ,,,
1,037-01466,"Warren E&P, Inc.",W0325,Wilmington,849,03701466,NWU,51-2,I,OG,33,04S,13W,SB,06,Fault Block II,33.77964873,-118.2484889,gps,83,N,N,Y, ,,,
1,037-01472,"Warren E&P, Inc.",W0325,Wilmington,849,03701472,WTU,1505,I,WF,33,04S,13W,SB,03,Fault Block I,33.77980638,-118.2551229,gps,83,N,N,N, ,,,
1,037-01480,"Warren E&P, Inc.",W0325,Wilmington,849,03701480,WTU,1476,I,OG,33,04S,13W,SB,03,Fault Block I,33.77818014,-118.2513266,gps,83,N,N,N, ,,,
1,037-01488,"Warren E&P, Inc.",W0325,Wilmington,849,03701488,NWU,425-9,I,OG,35,04S,13W,SB,18,Fault Block IV,33.7831378,-118.2181018,gps,83,N,N,N, ,,,
1,037-01489,"Warren E&P, Inc.",W0325,Wilmington,849,03701489,NWU,72-3,I,OG,35,04S,13W,SB,18,Fault Block IV,33.78415752,-118.2196722,gps,83,N,N,Y, ,,,
1,037-00111,Hillcrest Beverly Oil Corp.,H4325,Beverly Hills,054,03700111,Olympic Community,5,A,OG,25,01S,15W,SB,06,West,34.05071958,-118.4053396,gps,83,N,N,Y, ,,,
1,037-00112,Hillcrest Beverly Oil Corp.,H4325,Beverly Hills,054,03700112,Olympic Community,6,I,OG,25,01S,15W,SB,06,West,34.05069448,-118.4052598,gps,83,N,N,Y, ,,,
1,037-00114,BreitBurn Operating LP,B6131,Sawtelle,682,03700114,Dowlen-Federal,5,A,OG,28,01S,15W,SB,00,Any Area,34.05906318,-118.455585,gps,83,Y,N,Y, ,,,
1,037-00126,BreitBurn Operating LP,B6131,Sawtelle,682,03700126,Dowlen-Federal,6,A,OG,28,01S,15W,SB,00,Any Area,34.05930328,-118.4557975,gps,83,Y,N,Y, ,,,
2,037-00131,TEG Oil and Gas USA Inc.,T0135,Tapia,742,03700131,Hartje,9,A,WD,31,05N,16W,SB,00,Any Area,34.47765941,-118.605367,gps,83,N,N,N, ,07/03/1964,,
1,037-00148,Hillcrest Beverly Oil Corp.,H4325,Cheviot Hills,136,03700148,Hillcrest,3,I,WD,25,01S,15W,SB,00,Any Area,34.0506641,-118.4054945,gps,83,N,N,Y, ,,,
1,037-00149,Hillcrest Beverly Oil Corp.,H4325,Cheviot Hills,136,03700149,Rancho Park,3,A,OG,36,01S,15W,SB,00,Any Area,34.04555513,-118.4134391,gps,83,N,N,Y, ,,,
1,037-00151,Sentinel Peak Resources California LLC,S2641,Inglewood,324,03700151,Vickers 2,29,A,OG,7,02S,14W,SB,00,Any Area,34.00982107,-118.3846391,gps,83,N,N,N, ,,,
2,037-00183,California Resources Production Corporation,C0885,Honor Rancho,308,03700183,Honor Rancho 'A' (NCT-1),12,A,OG,6,04N,16W,SB,03,Main,34.45936488,-118.6005778,gps,83,N,N,N, ,,,
2,037-00187,Southern California Gas Company,S4700,Honor Rancho,308,03700187,WEZU,20,A,GS,8,04N,16W,SB,06,Southeast,34.45050525,-118.5875399,gps,83,N,N,N, ,,,
2,037-00192,Southern California Gas Company,S4700,Aliso Canyon,010,03700192,Ward,3,A,OB,27,03N,16W,SB,00,Any Area,34.31772312,-118.5467608,gps,83,N,N,N, ,,,
1,037-00194,Sentinel Peak Resources California LLC,S2641,Inglewood,324,03700194,BC,254,A,WF,16,02S,14W,SB,00,Any Area,34.0005866,-118.361181,gps,83,N,N,N, ,,,
1,037-00195,Sentinel Peak Resources California LLC,S2641,Inglewood,324,03700195,Stocker,105,A,OG,16,02S,14W,SB,00,Any Area,33.99551808,-118.3604476,gps,83,N,N,N, ,,,
1,037-00196,Sentinel Peak Resources California LLC,S2641,Inglewood,324,03700196,Windsor Hills Community,3,I,OG,16,02S,14W,SB,00,Any Area,33.99158054,-118.3607874,gps,83,N,N,N, ,,,
1,037-00199,Sentinel Peak Resources California LLC,S2641,Inglewood,324,03700199,BC,77,I,OG,16,02S,14W,SB,00,Any Area,33.99833913,-118.3610037,gps,83,N,N,N, ,,,
1,037-00200,Sentinel Peak Resources California LLC,S2641,Inglewood,324,03700200,BC,111,A,WF,17,02S,14W,SB,00,Any Area,33.99824943,-118.3658669,gps,83,N,N,N, ,,,
1,037-00203,Sentinel Peak Resources California LLC,S2641,Inglewood,324,03700203,BC,318-A,I,OG,8,02S,14W,SB,00,Any Area,34.00431369,-118.3665126,gps,83,N,N,N, ,,,
1,037-00205,Sentinel Peak Resources California LLC,S2641,Inglewood,324,03700205,Bradna,4,I,OG,16,02S,14W,SB,00,Any Area,33.99420909,-118.3612537,gps,83,N,N,N, ,,,
1,037-00208,Sentinel Peak Resources California LLC,S2641,Inglewood,324,03700208,LAI-BC-LW,18,A,WF,17,02S,14W,SB,00,Any Area,33.99625878,-118.3647441,gps,83,N,N,N, ,,,
1,037-00209,Sentinel Peak Resources California LLC,S2641,Inglewood,324,03700209,LAI-STK-LW,1,A,OG,17,02S,14W,SB,00,Any Area,33.99483723,-118.3615803,gps,83,N,N,N, ,,,
1,037-00212,Sentinel Peak Resources California LLC,S2641,Inglewood,324,03700212,LAI-STK-BC-LW,3,I,OG,17,02S,14W,SB,00,Any Area,33.99570156,-118.361946,gps,83,N,N,N, ,,,
1,037-00217,Sentinel Peak Resources California LLC,S2641,Inglewood,324,03700217,LAI 1,137,A,OG,8,02S,14W,SB,00,Any Area,34.00349775,-118.3687077,gps,83,N,N,N, ,,,
1,037-00219,Sentinel Peak Resources California LLC,S2641,Inglewood,324,03700219,LAI 1,187,I,OG,17,02S,14W,SB,00,Any Area,33.99898628,-118.3688084,gps,83,N,N,N, ,,,
1,037-00224,Sentinel Peak Resources California LLC,S2641,Inglewood,324,03700224,LAI 1,257,A,OG,17,02S,14W,SB,00,Any Area,34.00148478,-118.3721918,gps,83,N,N,N, ,,,
1,037-00229,Sentinel Peak Resources California LLC,S2641,Inglewood,324,03700229,LAI 1,305,I,OG,17,02S,14W,SB,00,Any Area,34.00327373,-118.3715896,gps,83,N,N,N, ,,,
1,037-00232,Sentinel Peak Resources California LLC,S2641,Inglewood,324,03700232,Stocker,38,A,OG,16,02S,14W,SB,00,Any Area,33.99379487,-118.36024,gps,83,N,N,N, ,,,
1,037-00233,Sentinel Peak Resources California LLC,S2641,Inglewood,324,03700233,WRZU,381,I,OG,8,02S,14W,SB,00,Any Area,34.00667278,-118.3776,gps,83,N,N,N, ,,,
1,037-00234,Sentinel Peak Resources California LLC,S2641,Inglewood,324,03700234,Vickers 1,56,A,OG,7,02S,14W,SB,00,Any Area,34.00605768,-118.3790937,gps,83,N,N,N, ,,,
1,037-00235,Sentinel Peak Resources California LLC,S2641,Inglewood,324,03700235,Vickers 1,82,A,WF,17,02S,14W,SB,00,Any Area,34.001052,-118.37686,sum,83,N,N,N, ,,,
1,037-00238,Sentinel Peak Resources California LLC,S2641,Inglewood,324,03700238,Vickers 1,101,I,OG,17,02S,14W,SB,00,Any Area,34.0022999,-118.3774511,gps,83,N,N,N, ,,,
1,037-00239,Sentinel Peak Resources California LLC,S2641,Inglewood,324,03700239,Vickers 1,114,A,WF,7,02S,14W,SB,00,Any Area,34.003812,-118.379531,sum,83,N,N,N, ,,,
1,037-00241,Sentinel Peak Resources California LLC,S2641,Inglewood,324,03700241,Vickers 2,33,I,OG,7,02S,14W,SB,00,Any Area,34.00897835,-118.3868716,gps,83,N,N,N, ,,,
1,037-00243,Sentinel Peak Resources California LLC,S2641,Inglewood,324,03700243,TVIC,207,A,WF,7,02S,14W,SB,00,Any Area,34.01022888,-118.3834494,hud,83,N,N,N, ,,,
1,037-00244,Sentinel Peak Resources California LLC,S2641,Inglewood,324,03700244,TVIC,7,A,WF,7,02S,14W,SB,00,Any Area,34.01046999,-118.3836874,gps,83,N,N,N, ,,,
1,037-00245,Sentinel Peak Resources California LLC,S2641,Inglewood,324,03700245,TVIC,16,I,OG,7,02S,14W,SB,00,Any Area,34.01055486,-118.3835584,hud,83,N,N,N, ,,,
1,037-00246,Sentinel Peak Resources California LLC,S2641,Inglewood,324,03700246,TVIC,23,A,OG,7,02S,14W,SB,00,Any Area,34.01126671,-118.3800435,gps,83,N,N,Y, ,,,
1,037-00248,Sentinel Peak Resources California LLC,S2641,Inglewood,324,03700248,TVIC,59,A,OG,7,02S,14W,SB,00,Any Area,34.01304637,-118.3829342,gps,83,N,N,Y, ,,,
1,037-00249,Sentinel Peak Resources California LLC,S2641,Inglewood,324,03700249,TVIC,63,A,OG,7,02S,14W,SB,00,Any Area,34.01342891,-118.381852,gps,83,N,N,Y, ,,,
1,037-00250,Sentinel Peak Resources California LLC,S2641,Inglewood,324,03700250,TVIC,65,A,OG,7,02S,14W,SB,00,Any Area,34.00842315,-118.3829684,gps,83,N,N,N, ,,,
1,037-00251,Sentinel Peak Resources California LLC,S2641,Inglewood,324,03700251,TVIC,266,A,WF,7,02S,14W,SB,00,Any Area,34.00712359,-118.3821443,gps,83,N,N,N, ,,,
1,037-00253,Sentinel Peak Resources California LLC,S2641,Inglewood,324,03700253,TVIC,68,A,OG,7,02S,14W,SB,00,Any Area,34.00715066,-118.3829518,gps,83,N,N,N, ,,,
1,037-00254,Sentinel Peak Resources California LLC,S2641,Inglewood,324,03700254,TVIC,71,A,OG,7,02S,14W,SB,00,Any Area,34.01083669,-118.3836089,gps,83,N,N,N, ,,,
